1	9787010121208	侵权法上的作为义务研究	苏艳英	人民出版社	2013	17.9	17
2	9787020031610	雪地三游客	埃·凯斯特纳	人民文学出版社	2000-5	9.8	9
3	9787020066421	韩国现代小说选	金承钰	人民文学出版社	2009-9	20	20
4	9787020088294	房间	[爱尔兰] 爱玛·多诺霍	人民文学出版社	2012-2	29.8	29
5	9787020110490	简.爱（布面精装典藏本）	夏洛蒂.勃朗特	人民文学出版社	2016-1	78	78
6	9787030150264	妇产科专家的关爱	郭述真	科学人文出版分社	2005-5	20	20
7	9787030189370	沙棘育种与栽培	黄铨	科学	2007-7	89	89
8	9787030307453	中国社会保障制度一体化研究	王国军	科学出版社	2011-5-1	45	45
9	9787030344762	60GHz CMOS锁相环技术	齐玛	科学出版社	2012-6	50	50
10	9787030373243	风湿病诊疗指南	胡绍先	科学出版社	2013-4	24	24
11	9787030421715	北京蛾类图谱	虞国跃	科学出版社	2015-1	318	318
12	9787040099652	电路与电工技术	陆国和编	高等教育出版社	2001年1月1日	18.5	18
13	9787040187649	计算机网络基础与局域网构建	姜波	高等教育出版社	2006-4	23.2	23
14	9787040199215	国际投资	杜奇华	高等教育出版社	2006-8	29	29
15	9787040370621	网络设备使用与维护	张凌杰	高等教育出版社	2013	26.9	26
16	9787100005814	意汉词典	北京外国语学院《意汉词典》组/编	商务印书馆	1985-8	148	148
17	9787100015578	俄国工人阶级状况	[俄] 恩·弗列罗夫斯基（瓦·瓦·别尔维）	商务印书馆	1984-10	21.8	21
18	9787100017930	罗马史（上卷）	[古罗马] 阿庇安	商务印书馆	1979-2	20.3	20
19	9787100023597	休谟经济论文选	[英]大卫·休谟	商务印书馆	1984-10-01	8.3	8
20	9787100028967	古汉语语法研究论文集	何乐士	商务印书馆	2000-05	20	20
21	9787100031967	汉语复句研究	邢福义	商务印书馆	2001-1	33	33
22	9787100034487	新时代汉英词典	潘绍中	商务印书馆	2003-12	78	78
23	9787100036665	东方复兴	何传启	商务印书馆	2003-1	21	21
24	9787100037679	俗语词典	徐宗才	商务印书馆发行部	2004-12	89	89
25	9787100039307	岩波日中词典	仓石武四郎/编	商务印书馆	2003-9	58	58
26	9787100039758	城市的适应	张继焦	商务印书馆	2004-05	20	20
27	9787100044134	新课标英语阅读·初中二年级。下册	《新课标英语阅读》编写组 编	商务印书馆	2005-3	7	7
28	9787100053075	认识与谬误	(奥)恩斯特·马赫	商务印书馆	2007-10	30	30
29	9787100055413	现代汉语动词直接做定语研究	李晋霞	商务印书馆	2008-7	17	17
30	9787100076524	语言接触与语言比较	汪锋	商务印书馆	2012-3	36	36
31	9787100088220	说文与训诂研究论集	宋永培	商务印书馆	2013-2	36	36
32	9787100088565	酒红冰蓝	洁尘	商务印书馆	2012-3	28	28
33	9787100093026	东南亚的贸易时代 1450-1680年 （第一卷）	[澳]安东尼·瑞德	商务印书馆	2013-10	34	34
